STATION,STATION_NAME,DATE,HPCP,Measurement Flag,Quality Flag
COOP:050843,BOULDER 2 CO US,20130101 01:00,0.00,g, 
COOP:050843,BOULDER 2 CO US,20130128 16:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130129 01:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130201 01:00,0.00,g, 
COOP:050843,BOULDER 2 CO US,20130214 16:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130220 18:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130220 19:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130221 02:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130221 08:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130224 06:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130224 08:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130224 10:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130224 15:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130226 10:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130301 01:00,0.00,g, 
COOP:050843,BOULDER 2 CO US,20130304 14:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130309 07:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130309 09:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130309 11:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130309 14:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130311 19:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130311 21:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130312 04:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130312 07:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130322 18:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130322 22:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130323 00:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130323 02:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130323 04:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130323 08:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130323 10:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130323 12:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130401 01:00,0.00,g, 
COOP:050843,BOULDER 2 CO US,20130402 13:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130402 14:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130402 16:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130402 19:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130402 22:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130408 20:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130408 21:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130408 23:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130409 02:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130409 07:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130409 11:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130409 14:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130409 20:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130414 00:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130415 05:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130415 07:00,0.10, , 
COOP:050843,BOULDER 2 CO US,20130415 09:00,0.10, , 
